archivo,d_ij,d_t,ratio
input/small_4.csv,0.6,1.28747,0.46603
input/small_3.csv,1.9,1.77027,1.07328
input/small_3.csv,1.9,2.25308,0.843292
input/small_3.csv,0.9,27.5197,0.0327038
input/small_3.csv,7.7,1.06216,7.24935
input/small_3.csv,0.9,5.63269,0.159782
input/small_3.csv,2.9,4.66709,0.621373
input/small_3.csv,1.1,0.482802,2.27837
input/small_3.csv,2.7,1.43231,1.88506
input/small_3.csv,2.4,4.45787,0.538373
input/small_3.csv,1.3,1.14263,1.13772
input/small_2.csv,9.4,2.99337,3.14027
input/small_2.csv,8.7,5.97065,1.45713
input/small_2.csv,2,1.77027,1.12977
input/small_2.csv,8.1,1.28747,6.2914
input/small_2.csv,6.6,2.4462,2.69807
input/small_2.csv,5.3,0.675923,7.84113
input/small_2.csv,3.6,4.98895,0.721594
input/small_2.csv,3.9,1.77027,2.20305
input/small_2.csv,4.6,4.66709,0.985626
input/small_2.csv,4.7,1.56106,3.01078
input/small_1.csv,5.2,2.14042,2.42943
input/small_1.csv,4.3,3.94288,1.09057
input/small_1.csv,3.7,2.76806,1.33667
input/small_1.csv,4.8,4.58662,1.04652
input/small_1.csv,5.6,4.34522,1.28877
input/small_1.csv,2.3,5.55222,0.414248
input/small_1.csv,1.1,2.80025,0.392822
input/small_1.csv,0.1,2.12433,0.0470737
input/small_1.csv,3.6,14.8059,0.243146
input/small_1.csv,1.7,5.31082,0.320101
input/medium_0.csv,0.6,2.57494,0.233015
input/medium_0.csv,1,14.2427,0.0702116
input/medium_0.csv,0.5,0.965604,0.517811
input/medium_0.csv,4,1.44841,2.76166
input/medium_0.csv,1.4,1.72199,0.813011
input/medium_0.csv,1.1,7.12938,0.154291
input/medium_0.csv,0.8,0.8,1
input/medium_0.csv,2.2,2.09214,1.05155
input/medium_0.csv,10.2,8.14326,1.25257
input/medium_0.csv,0.5,1.12654,0.443838
input/medium_0.csv,1.8,1.88293,0.955958
input/medium_0.csv,3.8,3.26696,1.16316
input/medium_0.csv,1.6,1.43231,1.11707
input/medium_0.csv,0.9,1.44841,0.621373
input/medium_0.csv,2.1,0.820763,2.55859
input/medium_0.csv,4.5,2.76806,1.62568
input/medium_0.csv,0.2,2.929,0.0682827
input/medium_0.csv,4.5,2.6876,1.67436
input/medium_0.csv,1.4,6.79141,0.206143
input/medium_0.csv,8.8,1.27138,6.92162
input/medium_0.csv,1.7,2.4462,0.694956
input/medium_0.csv,10,2.09214,4.77979
input/medium_0.csv,4,1.02998,3.88358
input/medium_0.csv,1,1.77027,0.564884
input/medium_0.csv,7.6,2.26917,3.34924
input/medium_0.csv,3.3,1.12654,2.92933
input/medium_0.csv,6.7,2.28526,2.93183
input/medium_0.csv,3.7,3.86242,0.95795
input/medium_0.csv,6,1.77027,3.38931
input/medium_0.csv,0.1,6.16377,0.0162238
input/medium_0.csv,9,1.28747,6.99044
input/medium_0.csv,0.2,1.28747,0.155343
input/medium_0.csv,0.7,1.12654,0.621373
input/medium_0.csv,2.5,0.482802,5.17811
input/medium_0.csv,0.9,3.10603,0.289759
input/medium_0.csv,2.3,0.482802,4.76386
input/medium_0.csv,9.9,4.1521,2.38434
input/medium_0.csv,1.5,1.93121,0.776716
input/medium_0.csv,1.2,2.41401,0.497098
input/medium_0.csv,0.3,2.25308,0.133151
input/medium_0.csv,3.3,5.58441,0.590931
input/medium_0.csv,7.5,2.07605,3.61263
input/medium_0.csv,0.7,3.21868,0.21748
input/medium_0.csv,10.5,2.10824,4.98047
input/medium_0.csv,0.7,4.66709,0.149987
input/medium_0.csv,1.1,2.80025,0.392822
input/medium_0.csv,0.9,3.26696,0.275485
input/medium_0.csv,0.8,1.52887,0.523261
input/medium_0.csv,4.9,2.41401,2.02982
input/medium_0.csv,0.3,2.65541,0.112977
input/medium_0.csv,0.2,1.86683,0.107133
input/medium_0.csv,0.3,1.28747,0.233015
input/medium_0.csv,7.1,1.93121,3.67646
input/medium_0.csv,0.2,4.34522,0.0460276
input/medium_0.csv,0.7,1.68981,0.414248
input/medium_0.csv,0.9,6.21205,0.14488
input/medium_0.csv,7.4,2.25308,3.2844
input/medium_0.csv,2,4.18428,0.477979
input/medium_0.csv,11.6,1.09435,10.5999
input/medium_0.csv,1.8,3.83023,0.469946
input/medium_0.csv,0,4.34522,0
input/medium_0.csv,1.1,6.75923,0.16274
input/medium_0.csv,2.9,1.44841,2.0022
input/medium_0.csv,5.1,36.3711,0.140221
input/medium_0.csv,0.4,2.57494,0.155343
input/medium_0.csv,0.2,32.1546,0.00621995
input/medium_0.csv,14.8,1.41622,10.4504
input/medium_0.csv,1.5,0.643736,2.33015
input/medium_0.csv,13.9,2.09214,6.64391
input/medium_0.csv,2.6,3.71758,0.699381
input/medium_0.csv,1.5,0.643736,2.33015
input/medium_0.csv,0.7,1.27138,0.550583
input/medium_0.csv,4.2,3.87851,1.08289
input/medium_0.csv,0.5,1.17482,0.425598
input/medium_0.csv,3.9,2.83244,1.37691
input/medium_0.csv,4.4,2.57494,1.70878
input/medium_0.csv,2.4,2.49448,0.962126
input/medium_0.csv,1.4,0.675923,2.07124
input/medium_0.csv,4.4,18.9258,0.232486
input/medium_0.csv,1.5,6.14768,0.243995
input/medium_0.csv,1.1,4.53834,0.242379
input/medium_0.csv,1.4,0.160934,8.69922
input/medium_0.csv,2.8,4.18428,0.669171
input/medium_0.csv,1.3,0.80467,1.61557
input/medium_0.csv,4.8,1.12654,4.26084
input/medium_0.csv,2.9,15.9325,0.182018
input/medium_0.csv,2.6,3.08993,0.841442
input/medium_0.csv,6.2,3.13821,1.97565
input/medium_0.csv,0.6,0.643736,0.932059
input/medium_0.csv,2.8,1.59325,1.75742
input/medium_0.csv,8.9,1.49669,5.94647
input/medium_0.csv,0.4,15.1278,0.0264414
input/medium_0.csv,15,4.29694,3.49086
input/medium_0.csv,2.5,0.80467,3.10686
input/medium_0.csv,2.7,6.22815,0.433516
input/medium_0.csv,1.3,14.13,0.0920028
input/medium_0.csv,0.7,1.60934,0.434961
input/medium_0.csv,9.1,1.12654,8.07785
input/medium_0.csv,0.7,1.57715,0.443838
input/medium_0.csv,6.9,2.89681,2.38193
input/medium_1.csv,1,1.60934,0.621373
input/medium_1.csv,2.7,3.49227,0.773137
input/medium_1.csv,0.5,0.80467,0.621373
input/medium_1.csv,1.3,1.77027,0.73435
input/medium_1.csv,0.6,2.55885,0.23448
input/medium_1.csv,11.4,1.25529,9.0816
input/medium_1.csv,4.8,1.38403,3.46813
input/medium_1.csv,7.1,9.65604,0.735291
input/medium_1.csv,1.5,3.71758,0.403489
input/medium_1.csv,1.1,2.02777,0.542468
input/medium_1.csv,0.3,1.93121,0.155343
input/medium_1.csv,3.4,26.6346,0.127654
input/medium_1.csv,2.8,2.34964,1.19167
input/medium_1.csv,10.8,1.60934,6.71083
input/medium_1.csv,1.4,4.02335,0.347969
input/medium_1.csv,2.3,2.4462,0.940235
input/medium_1.csv,1.3,1.44841,0.897538
input/medium_1.csv,2.3,3.62101,0.635181
input/medium_1.csv,2.1,3.23477,0.649195
input/medium_1.csv,11.9,3.20259,3.71575
input/medium_1.csv,1.2,0.772483,1.55343
input/medium_1.csv,0.7,11.201,0.0624944
input/medium_1.csv,0.9,1.60934,0.559235
input/medium_1.csv,1.2,2.4301,0.493806
input/medium_1.csv,9.3,6.37299,1.45928
input/medium_1.csv,0.9,1.68981,0.532605
input/medium_1.csv,5.3,3.54055,1.49694
input/medium_1.csv,1.5,26.715,0.0561481
input/medium_1.csv,1,16.2865,0.0614005
input/medium_1.csv,0.6,6.35689,0.0943857
input/medium_1.csv,13.2,6.27643,2.10311
input/medium_1.csv,1.4,1.09435,1.2793
input/medium_1.csv,0.9,3.34743,0.268863
input/medium_1.csv,1.2,0.772483,1.55343
input/medium_1.csv,3.6,1.65762,2.17179
input/medium_1.csv,1.7,0.144841,11.737
input/medium_1.csv,3.5,2.73588,1.2793
input/medium_1.csv,0.5,2.4462,0.204399
input/medium_1.csv,3.8,1.28747,2.95152
input/medium_1.csv,6.6,2.09214,3.15466
input/medium_1.csv,3.3,5.03723,0.655121
input/medium_1.csv,2.5,4.98895,0.501107
input/medium_1.csv,0.6,4.60271,0.130358
input/medium_1.csv,0.6,1.77027,0.338931
input/medium_1.csv,2.9,5.79362,0.50055
input/medium_1.csv,0.9,1.12654,0.798908
input/medium_1.csv,9.2,1.77027,5.19694
